_fieldnames,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,fname
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",34,57,237,178,17,00518.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",7,39,254,177,34,00519.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",14,59,253,142,9,00520.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",122,196,512,439,27,00521.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",6,7,94,68,0,00522.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",33,151,1000,528,17,00523.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",38,98,590,353,21,00524.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",116,148,391,318,10,00525.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",26,78,245,161,17,00526.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",56,3,736,271,46,00527.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",38,74,213,162,18,00528.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",45,44,563,415,9,00529.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",25,32,236,180,34,00530.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",167,396,1945,1016,23,00531.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",26,139,607,343,10,00532.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",40,68,487,263,22,00533.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",17,120,563,359,22,00534.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",508,240,1379,955,28,00535.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",29,116,593,409,9,00536.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",1,328,758,773,37,00537.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",56,214,1544,755,17,00538.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",30,11,413,316,22,00539.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",3,39,300,128,9,00540.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",12,52,275,208,18,00541.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",25,78,600,421,12,00542.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",8,79,397,240,45,00543.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",9,72,633,359,42,00544.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",5,569,2040,1468,26,00545.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",40,114,350,285,4,00546.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",63,110,592,351,7,00547.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",11,36,247,175,3,00548.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",8,5,547,267,3,00549.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",11,130,394,257,13,00550.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",227,315,766,532,5,00551.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",4,41,281,148,6,00552.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",16,95,628,339,45,00553.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",41,38,299,190,22,00554.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",37,89,603,317,25,00555.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",101,254,938,605,34,00556.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",117,15,723,513,43,00557.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",54,49,528,336,11,00558.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",20,65,612,409,34,00559.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",7,85,250,191,17,00560.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",151,169,573,425,3,00561.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",65,95,368,241,9,00562.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",9,78,899,520,22,00563.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",45,86,600,355,9,00564.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",187,117,649,492,43,00565.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",520,373,1582,1043,4,00566.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",19,34,247,159,12,00567.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",30,128,402,307,22,00568.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",25,234,1179,675,9,00569.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",10,44,239,193,20,00570.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",18,34,255,182,22,00571.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",78,245,896,604,43,00572.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",141,525,1803,1854,36,00573.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",117,95,612,362,11,00574.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",13,75,632,446,18,00575.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",20,24,232,156,18,00576.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",51,97,669,286,9,00577.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",177,229,931,789,3,00578.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",71,82,368,267,4,00579.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",49,241,1573,1075,46,00580.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",310,322,1121,691,7,00581.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",2,11,222,115,22,00582.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",107,66,566,314,47,00583.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",133,95,827,540,44,00584.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",388,220,1340,975,12,00585.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",31,105,246,194,46,00586.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",23,90,504,289,27,00587.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",12,56,247,155,10,00588.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",41,140,558,325,5,00589.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",9,16,299,204,43,00590.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",66,36,573,446,7,00591.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",62,128,615,389,4,00592.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",13,31,245,155,10,00593.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",33,85,596,395,39,00594.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",91,143,582,410,9,00595.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",9,53,212,132,19,00596.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",62,162,607,458,9,00597.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",25,84,280,198,4,00598.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",33,56,408,294,45,00599.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",47,14,360,181,3,00600.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",28,55,974,675,9,00601.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",29,24,591,388,3,00602.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",4,16,213,118,3,00603.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",59,155,734,459,10,00604.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",117,376,1610,1048,33,00605.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",99,72,894,675,13,00606.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",73,195,570,449,9,00607.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",254,283,922,469,27,00608.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",19,33,223,128,19,00609.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",395,247,1812,1254,26,00610.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",19,83,618,384,10,00611.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",33,98,594,391,10,00612.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",24,72,589,481,36,00613.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",1,18,1022,692,17,00614.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",76,135,965,665,9,00615.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",61,66,737,430,13,00616.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",39,83,617,477,20,00617.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",42,216,998,619,12,00618.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",50,37,308,210,19,00619.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",107,110,994,717,9,00620.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",10,28,791,520,26,00621.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",35,64,549,375,8,00622.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",33,142,612,396,4,00623.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",52,58,446,231,12,00624.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",12,41,652,341,22,00625.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",30,44,384,243,9,00626.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",143,89,390,238,22,00627.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",16,20,291,220,12,00628.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",3,10,259,193,22,00629.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",133,79,660,551,10,00630.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",11,8,270,160,1,00631.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",59,224,869,575,3,00632.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",84,285,599,699,30,00633.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",15,31,286,148,2,00634.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",60,91,727,405,2,00635.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",37,51,370,268,27,00636.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",69,43,868,467,15,00637.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",3,41,258,157,3,00638.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",44,125,668,483,4,00639.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",33,177,583,422,27,00640.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",14,113,599,417,43,00641.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",37,54,261,175,3,00642.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",35,118,573,332,47,00643.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",55,138,588,349,17,00644.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",20,13,301,113,9,00645.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",8,38,266,146,12,00646.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",169,428,1393,1001,8,00647.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",14,60,223,138,22,00648.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",64,153,818,423,22,00649.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",64,136,439,329,4,00650.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",8,147,782,511,43,00651.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",6,21,318,140,23,00652.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",15,46,194,109,3,00653.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",55,61,799,445,9,00654.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",82,185,928,579,40,00655.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",43,75,445,252,44,00656.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",6,15,271,160,4,00657.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",192,235,1260,878,34,00658.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",136,308,893,710,21,00659.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",173,132,497,296,2,00660.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",8,71,421,285,9,00661.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",47,57,612,455,20,00662.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",49,91,675,322,12,00663.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",31,66,619,425,4,00664.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",12,46,239,154,29,00665.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",127,137,673,352,43,00666.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",21,44,453,318,22,00667.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",14,48,256,164,10,00668.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",12,41,246,186,9,00669.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",97,49,455,326,1,00670.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",24,91,506,270,22,00671.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",50,16,226,184,18,00672.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",25,1,259,189,12,00673.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",5,16,153,102,18,00674.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",103,289,1049,584,4,00675.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",35,107,620,389,9,00676.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",11,34,217,140,14,00677.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",105,400,978,692,4,00678.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",190,229,681,454,15,00679.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",59,52,247,155,22,00680.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",5,32,588,340,3,00681.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",11,15,297,201,12,00682.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",108,1,550,295,44,00683.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",68,37,698,446,3,00684.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",260,498,1700,1030,22,00685.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",30,52,385,190,3,00686.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",167,84,854,575,22,00687.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",75,6,864,628,22,00688.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",59,63,369,293,3,00689.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",111,55,346,217,3,00690.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",84,189,573,376,1,00691.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",48,45,589,320,9,00692.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",64,103,934,617,12,00693.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",14,43,221,150,9,00694.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",87,80,567,458,17,00695.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",2,73,567,331,18,00696.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",16,55,560,382,1,00697.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",29,24,219,151,8,00698.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",37,36,609,376,21,00699.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",93,101,404,274,1,00700.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",22,49,276,181,4,00701.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",567,449,1428,988,22,00702.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",21,137,472,337,17,00703.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",11,29,631,435,22,00704.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",17,8,343,248,12,00705.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",13,20,626,446,26,00706.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",26,32,677,418,0,00707.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",102,298,903,609,34,00708.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",129,256,729,498,4,00709.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",13,34,272,147,6,00710.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",29,19,623,405,36,00711.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",457,414,1308,951,26,00712.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",58,82,966,720,12,00713.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",75,121,603,370,9,00714.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",47,89,690,441,17,00715.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",8,91,257,189,4,00716.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",21,31,609,359,17,00717.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",296,222,1121,607,26,00718.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",118,93,380,317,43,00719.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",10,62,152,117,10,00720.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",74,231,418,360,17,00721.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",62,102,565,405,9,00722.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",25,241,751,524,3,00723.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",100,27,238,125,8,00724.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",206,55,808,570,9,00725.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",7,85,246,182,34,00726.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",1,31,208,92,27,00727.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",38,66,266,181,9,00728.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",64,160,420,347,21,00729.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",30,56,619,395,32,00730.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",30,37,608,331,15,00731.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",40,349,571,613,5,00732.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",289,136,555,306,3,00733.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",16,157,778,520,34,00734.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",10,60,894,506,22,00735.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",18,4,428,251,42,00736.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",39,12,216,187,12,00737.jpg
"['bbox_x1', 'bbox_y1', 'bbox_x2', 'bbox_y2', 'class', 'fname']",42,153,602,389,9,00738.jpg
